iter	Passed	Remaining
145	278	1627
146	278	1618
147	279	1609
148	280	1600
149	280	1591
150	281	1582
151	281	1573
152	282	1563
153	283	1554
154	283	1545
155	284	1537
156	284	1528
157	285	1520
158	285	1512
159	286	1504
160	286	1494
161	287	1486
162	287	1478
163	288	1470
164	289	1462
165	289	1454
166	290	1447
167	290	1439
168	291	1431
169	291	1424
170	292	1416
171	292	1409
172	293	1403
173	294	1397
174	295	1390
175	295	1384
176	296	1377
177	296	1370
178	297	1364
179	297	1357
180	298	1350
181	299	1344
182	299	1337
183	300	1331
184	300	1325
185	301	1318
186	301	1312
187	302	1306
188	302	1300
189	303	1294
190	304	1287
191	304	1281
192	305	1276
193	305	1270
194	306	1264
195	306	1258
196	307	1252
197	307	1247
198	308	1242
199	309	1237
200	310	1232
201	310	1227
202	311	1221
203	311	1217
204	312	1211
205	313	1206
206	313	1201
207	314	1196
208	314	1191
209	315	1186
210	315	1181
211	316	1176
212	317	1171
213	317	1166
214	318	1161
215	318	1156
216	319	1151
217	319	1146
218	320	1141
219	320	1137
220	321	1132
221	321	1128
222	322	1123
223	323	1119
224	323	1115
225	324	1111
226	325	1106
227	325	1102
228	326	1098
229	326	1094
230	327	1089
231	327	1085
232	328	1081
233	329	1077
234	329	1072
235	330	1069
236	330	1064
237	331	1060
238	331	1056
239	332	1052
240	332	1048
241	333	1044
242	333	1040
243	334	1036
244	335	1032
245	335	1028
246	336	1025
247	336	1021
248	337	1017
249	337	1013
250	338	1010
251	339	1007
252	339	1003
253	340	1000
254	341	996
255	341	993
256	342	989
257	342	986
258	343	982
259	344	979
260	344	975
261	345	972
262	345	968
263	346	965
264	346	961
265	347	958
266	347	955
267	348	952
268	349	948
269	349	945
270	350	941
271	350	938
272	351	935
273	351	932
274	352	928
275	352	925
276	353	922
277	354	919
278	354	916
279	355	914
280	356	911
281	356	908
282	357	905
283	357	902
284	358	899
285	359	896
286	359	893
287	360	890
288	360	887
289	361	884
290	361	881
291	362	878
292	362	875
293	363	872
294	364	869
295	364	867
296	365	864
297	365	861
298	366	858
299	366	855
300	367	853
301	367	850
302	368	847
303	369	845
304	369	842
305	370	840
306	371	837
307	371	835
308	372	833
309	373	830
310	373	827
311	374	825
312	374	822
313	375	819
314	375	817
315	376	814
316	376	812
317	377	809
318	378	807
319	378	804
320	379	801
321	379	799
322	380	796
323	380	794
324	381	792
325	381	789
326	382	787
327	383	784
328	383	782
329	384	780
330	385	778
331	385	776
332	386	774
333	387	771
334	387	769
335	388	767
336	388	765
337	389	762
338	389	760
339	390	757
340	390	755
341	391	753
342	391	750
343	392	748
344	393	746
345	393	743
346	394	741
347	394	739
348	395	737
349	395	735
350	396	732
351	396	730
352	397	728
353	397	726
354	398	724
355	399	722
356	400	720
357	400	718
358	401	716
359	402	714
360	402	712
361	403	710
362	403	708
363	404	706
364	405	704
365	405	702
366	406	700
367	406	698
368	407	696
369	407	694
370	408	692
371	409	690
372	409	688
373	410	686
374	410	684
375	411	682
376	411	680
377	412	678
378	412	676
379	413	674
380	414	672
381	414	671
382	415	669
383	416	667
384	416	665
385	417	664
386	418	662
387	418	660
388	419	658
389	419	656
390	420	654
391	420	652
392	421	650
393	421	648
394	422	647
395	423	645
396	423	643
397	424	641
398	424	639
399	425	637
400	425	635
401	426	634
402	426	632
403	427	630
404	427	628
405	428	626
406	429	625
407	429	623
408	430	622
409	431	620
410	431	618
411	432	617
412	432	615
413	433	613
414	434	611
415	434	609
416	435	608
417	435	606
418	436	604
419	436	603
420	437	601
421	437	599
422	438	597
423	438	596
424	439	594
425	439	592
426	440	591
427	441	589
428	441	587
429	442	586
430	442	584
431	443	582
432	444	581
433	444	580
434	445	578
435	446	577
436	446	575
437	447	573
438	447	572
439	448	570
440	448	568
441	449	567
442	449	565
443	450	564
444	450	562
445	451	560
446	452	559
447	452	557
448	453	556
449	453	554
450	454	553
451	454	551
452	455	550
453	456	548
454	456	546
455	457	545
456	457	543
457	458	542
458	459	541
459	459	539
460	460	538
461	460	536
462	461	535
463	462	533
464	462	532
465	463	530
466	463	529
467	464	527
468	464	526
469	465	524
470	465	523
471	466	521
472	467	520
473	467	518
474	468	517
475	468	516
476	469	514
477	469	513
478	470	511
479	470	510
480	471	508
481	472	507
482	472	505
483	473	504
484	473	502
485	474	501
486	474	500
487	475	499
488	476	497
489	477	496
490	477	495
491	478	493
492	478	492
493	479	490
494	479	489
495	480	488
496	481	486
497	481	485
498	482	484
499	482	482
500	483	481
501	483	479
502	484	478
503	484	477
504	485	476
505	486	474
506	486	473
507	487	472
508	488	470
509	488	469
510	489	468
511	489	466
512	490	465
513	491	464
514	491	463
515	492	461
516	493	460
517	493	459
518	494	458
519	494	456
520	495	455
521	495	454
522	496	452
523	497	451
524	497	450
525	498	448
526	498	447
527	499	446
528	499	444
529	500	443
530	500	442
531	501	441
532	501	439
533	502	438
534	503	437
535	503	435
536	504	434
537	504	433
538	505	432
539	506	431
540	506	430
541	507	428
542	508	427
543	508	426
544	509	425
545	510	424
546	510	422
547	511	421
548	511	420
549	512	419
550	513	418
551	514	417
552	514	416
553	515	415
554	516	413
555	516	412
556	517	411
557	518	410
558	519	409
559	520	408
560	520	407
561	521	406
562	522	405
563	522	404
564	523	403
565	524	402
566	525	400
567	525	399
568	526	398
569	527	397
570	527	396
571	528	395
572	529	394
573	530	393
574	530	392
575	531	391
576	532	390
577	532	389
578	533	387
579	534	387
580	535	386
581	536	385
582	537	384
583	537	383
584	538	382
585	539	380
586	539	379
587	540	378
588	541	377
589	541	376
590	542	375
591	543	374
592	544	373
593	544	372
594	545	371
595	546	370
596	546	369
597	547	367
598	548	366
599	548	365
600	549	364
601	550	364
602	551	363
603	552	362
604	553	361
605	554	360
606	554	359
607	555	358
608	556	357
609	556	356
610	557	355
611	558	354
612	559	352
613	559	351
614	560	350
615	560	349
616	561	348
617	562	347
618	562	346
619	563	345
620	564	344
621	564	343
622	565	342
623	566	341
624	567	340
625	568	339
626	568	338
627	569	337
628	570	336
629	570	335
630	571	334
631	572	333
632	572	332
633	573	330
634	573	329
635	574	328
636	575	327
637	575	326
638	576	325
639	577	324
640	577	323
641	578	322
642	578	321
643	580	320
644	581	319
645	582	318
646	582	317
647	583	316
648	584	315
649	584	314
650	585	313
651	586	312
652	586	311
653	587	310
654	588	309
655	588	308
656	589	307
657	590	306
658	590	305
659	591	304
660	592	303
661	592	302
662	593	301
663	594	300
664	594	299
665	596	298
666	596	298
667	597	297
668	598	296
669	599	295
670	599	294
671	600	293
672	601	292
673	602	291
674	602	290
675	603	289
676	603	288
677	604	287
678	605	286
679	605	285
680	606	284
681	607	283
682	607	282
683	608	281
684	609	280
685	609	279
686	611	278
687	611	277
688	612	276
689	613	275
690	614	274
691	615	273
692	615	272
693	616	271
694	617	270
695	617	269
696	618	268
697	619	267
698	619	266
699	620	265
700	620	264
701	621	263
702	622	262
703	623	261
704	623	261
705	624	260
706	625	259
707	626	258
708	627	257
709	628	256
710	628	255
711	629	254
712	630	253
713	630	252
714	631	251
715	632	250
716	632	249
717	633	248
718	634	247
719	634	246
720	635	245
721	635	244
722	636	243
723	637	242
724	637	241
725	638	240
726	639	239
727	639	239
728	640	238
729	641	237
730	642	236
731	643	235
732	644	234
733	644	233
734	645	232
735	646	231
736	646	230
737	647	229
738	648	228
739	648	227
740	649	227
741	650	226
742	650	225
743	651	224
744	652	223
745	652	222
746	653	221
747	653	220
748	654	219
749	656	218
750	657	217
751	657	216
752	658	216
753	659	215
754	660	214
755	660	213
756	661	212
757	662	211
758	662	210
759	663	209
760	664	208
761	664	207
762	665	206
763	665	205
764	666	204
765	667	203
766	667	202
767	668	201
768	668	200
769	669	199
770	670	199
771	672	198
772	672	197
773	673	196
774	674	195
775	675	194
776	675	193
777	676	193
778	677	192
779	677	191
780	678	190
781	679	189
782	679	188
783	680	187
784	681	186
785	681	185
786	682	184
787	682	183
788	683	182
789	684	181
790	685	181
791	686	180
792	687	179
793	688	178
794	689	177
795	689	176
796	690	175
797	691	174
798	691	174
799	692	173
800	693	172
801	693	171
802	694	170
803	695	169
804	695	168
805	696	167
806	697	166
807	697	165
808	698	164
809	699	163
810	699	163
811	700	162
812	701	161
813	702	160
814	703	159
815	703	158
816	704	157
817	705	156
818	705	155
819	706	155
820	706	154
821	707	153
822	708	152
823	708	151
824	709	150
825	710	149
826	711	148
827	711	147
828	712	146
829	713	146
830	713	145
831	714	144
832	715	143
833	716	142
834	717	141
835	717	140
836	718	139
837	719	139
838	719	138
839	720	137
840	721	136
841	721	135
842	722	134
843	723	133
844	724	132
845	725	131
846	725	131
847	726	130
848	726	129
849	727	128
850	728	127
851	728	126
852	729	125
853	730	124
854	731	124
855	732	123
856	732	122
857	733	121
858	734	120
859	735	119
860	735	118
861	736	117
862	737	117
863	737	116
864	738	115
865	739	114
866	739	113
867	740	112
868	741	111
869	741	110
870	742	109
871	742	109
872	743	108
873	744	107
874	744	106
875	745	105
876	746	104
877	747	103
878	747	102
879	748	102
880	749	101
881	749	100
882	750	99
883	751	98
884	751	97
885	752	96
886	753	95
887	753	95
888	754	94
889	754	93
890	755	92
891	756	91
892	756	90
893	757	89
894	758	88
895	758	88
896	759	87
897	760	86
898	761	85
899	761	84
900	762	83
901	763	82
902	764	82
903	764	81
904	765	80
905	765	79
906	766	78
907	767	77
908	767	76
909	768	76
910	769	75
911	769	74
912	770	73
913	770	72
914	771	71
915	772	70
916	772	69
917	773	69
918	774	68
919	774	67
920	775	66
921	776	65
922	777	64
923	777	63
924	778	63
925	779	62
926	779	61
927	780	60
928	781	59
929	781	58
930	782	57
931	783	57
932	783	56
933	784	55
934	785	54
935	785	53
936	786	52
937	787	52
938	787	51
939	788	50
940	789	49
941	789	48
942	790	47
943	791	46
944	792	46
945	792	45
946	793	44
947	794	43
948	794	42
949	795	41
950	796	41
951	796	40
952	797	39
953	798	38
954	798	37
955	799	36
956	800	35
957	800	35
958	801	34
959	801	33
960	802	32
961	803	31
962	803	30
963	804	30
964	804	29
965	806	28
966	806	27
967	807	26
968	808	25
969	808	25
970	809	24
971	810	23
972	811	22
973	811	21
974	812	20
975	812	19
976	813	19
977	814	18
978	814	17
979	815	16
980	815	15
981	816	14
982	817	14
983	817	13
984	818	12
985	819	11
986	819	10
987	820	9
988	821	9
989	822	8
990	822	7
991	823	6
992	824	5
993	825	4
994	825	4
995	826	3
996	826	2
997	827	1
998	828	0
999	828	0
